#{"t_start": 1718462887.2558832, "env_id": "CartPole-v1"}
r,l,t
8.0,8,2.239833
9.0,9,4.187924
10.0,10,6.040641
10.0,10,7.90084
11.0,11,9.788026
9.0,9,11.68048
10.0,10,13.598239
9.0,9,15.476707
9.0,9,17.347256
10.0,10,19.241391
04
12.0,12,1.291424
11.0,11,1.323714
10.0,10,1.353459
10.0,10,1.382658
11.0,11,1.41856
17.0,17,1.468843
9.0,9,1.490562
13.0,13,1.524702
9.0,9,1.554133
16.0,16,1.605044
12.0,12,1.639684
19.0,19,1.692857
8.0,8,1.721345
12.0,12,1.761805
12.0,12,1.799346
13.0,13,1.849234
10.0,10,1.896027
11.0,11,1.936421
12.0,12,1.980336
12.0,12,2.017563
9.0,9,2.047814
10.0,10,2.089105
11.0,11,2.121447
9.0,9,2.153315
9.0,9,2.189382
8.0,8,2.212107
9.0,9,2.244583
9.0,9,2.328618
10.0,10,2.366892
10.0,10,2.404921
9.0,9,2.445577
10.0,10,2.487939
9.0,9,2.524689
8.0,8,2.558329
8.0,8,2.588598
10.0,10,2.624009
10.0,10,2.6592
9.0,9,2.696717
9.0,9,2.726739
8.0,8,2.754912
10.0,10,2.788679
10.0,10,2.831507
9.0,9,2.860844
11.0,11,2.904117
10.0,10,2.938142
9.0,9,2.973269
10.0,10,3.009688
10.0,10,3.049754
9.0,9,3.078991
12.0,12,3.123686
10.0,10,3.161054
11.0,11,3.197901
10.0,10,3.240891
10.0,10,3.278023
10.0,10,3.31745
9.0,9,3.34618
11.0,11,3.383471
9.0,9,3.412888
9.0,9,3.451861
9.0,9,3.485495
10.0,10,3.529763
10.0,10,3.56526
9.0,9,3.601274
9.0,9,3.633457
9.0,9,3.667411
10.0,10,3.708129
10.0,10,3.746337
10.0,10,3.786263
10.0,10,3.81801
10.0,10,3.859192
8.0,8,3.900651
10.0,10,3.939156
9.0,9,3.972301
8.0,8,4.001094
9.0,9,4.03388
9.0,9,4.070075
9.0,9,4.102657
9.0,9,4.135486
9.0,9,4.173587
12.0,12,4.245464
10.0,10,4.278962
9.0,9,4.308513
10.0,10,4.351874
10.0,10,4.386345
11.0,11,4.427811
11.0,11,4.468634
9.0,9,4.501615
9.0,9,4.530475
9.0,9,4.56458
10.0,10,4.596974
11.0,11,4.631615
10.0,10,4.667645
8.0,8,4.697585
9.0,9,4.728973
8.0,8,4.753249
12.0,12,4.792527
10.0,10,4.824265
8.0,8,4.850607
10.0,10,4.886475
9.0,9,4.921515
9.0,9,4.952164
9.0,9,4.987406
10.0,10,5.024151
9.0,9,5.056887
10.0,10,5.096313
9.0,9,5.129319
10.0,10,5.163736
10.0,10,5.203213
8.0,8,5.234812
10.0,10,5.265368
