#{"t_start": 1718461803.0062377, "env_id": "None"}
r,l,t
9.0,9,1.428529
9.0,9,1.4286
9.0,9,1.428625
9.0,9,1.428647
10.0,10,1.429415
8.0,8,2.269655
8.0,8,2.269721
9.0,9,2.270525
10.0,10,2.271375
10.0,10,2.27143
8.0,8,3.188797
9.0,9,3.189718
9.0,9,3.189779
9.0,9,3.189805
10.0,10,3.1906
9.0,9,4.175032
9.0,9,4.175089
9.0,9,4.175108
9.0,9,4.175125
10.0,10,4.175855
9.0,9,5.228259
9.0,9,5.228328
10.0,10,5.229197
10.0,10,5.229258
10.0,10,5.229282
8.0,8,6.298801
10.0,10,6.300374
10.0,10,6.300436
10.0,10,6.300471
11.0,11,6.301228
8.0,8,7.34707
9.0,9,7.347893
9.0,9,7.34795
9.0,9,7.347974
10.0,10,7.348719
8.0,8,8.360193
8.0,8,8.360269
8.0,8,8.360294
9.0,9,8.361032
11.0,11,8.362401
8.0,8,9.404414
9.0,9,9.405262
10.0,10,9.406164
10.0,10,9.406233
10.0,10,9.406262
8.0,8,10.452924
9.0,9,10.453844
9.0,9,10.453906
9.0,9,10.453932
10.0,10,10.45469
8.0,8,11.508729
9.0,9,11.5096
9.0,9,11.50966
10.0,10,11.510492
10.0,10,11.510557
9.0,9,12.518588
10.0,10,12.519429
10.0,10,12.519489
10.0,10,12.519514
11.0,11,12.520259
8.0,8,13.566306
9.0,9,13.567176
9.0,9,13.567233
10.0,10,13.567987
11.0,11,13.568778
9.0,9,14.54541
10.0,10,14.54633
10.0,10,14.546397
10.0,10,14.546449
10.0,10,14.546474
9.0,9,15.46414
9.0,9,15.464207
11.0,11,15.465694
11.0,11,15.465752
12.0,12,15.466544
9.0,9,16.493351
10.0,10,16.494176
11.0,11,16.495041
11.0,11,16.495106
12.0,12,16.495862
9.0,9,17.526753
10.0,10,17.527545
10.0,10,17.527605
11.0,11,17.52836
13.0,13,17.529796
9.0,9,18.529978
9.0,9,18.530045
10.0,10,18.530937
10.0,10,18.531001
10.0,10,18.531025
8.0,8,19.573531
9.0,9,19.574422
9.0,9,19.574485
10.0,10,19.575235
11.0,11,19.576028
8.0,8,20.617015
9.0,9,20.617937
9.0,9,20.618001
9.0,9,20.618025
10.0,10,20.618777
9.0,9,21.612898
9.0,9,21.612976
9.0,9,21.613027
9.0,9,21.61305
10.0,10,21.613805
8.0,8,22.631338
8.0,8,22.631413
9.0,9,22.632268
9.0,9,22.63233
9.0,9,22.632353
9.0,9,23.65488
9.0,9,23.654953
9.0,9,23.654978
10.0,10,23.655743
11.0,11,23.656528
8.0,8,24.698813
10.0,10,24.700306
10.0,10,24.700366
10.0,10,24.70039
11.0,11,24.701134
9.0,9,25.769075
9.0,9,25.769147
9.0,9,25.769172
10.0,10,25.769981
10.0,10,25.770042
8.0,8,26.826173
9.0,9,26.827077
9.0,9,26.82714
10.0,10,26.827948
10.0,10,26.828004
8.0,8,27.89209
9.0,9,27.892921
10.0,10,27.893774
10.0,10,27.893832
11.0,11,27.89461
8.0,8,28.96936
8.0,8,28.969429
10.0,10,28.970855
10.0,10,28.970908
10.0,10,28.970926
8.0,8,30.02277
8.0,8,30.022826
9.0,9,30.023592
9.0,9,30.023651
10.0,10,30.0244
8.0,8,31.098006
9.0,9,31.098937
9.0,9,31.099003
9.0,9,31.099028
10.0,10,31.099794
8.0,8,32.152337
9.0,9,32.153255
9.0,9,32.153316
9.0,9,32.15334
10.0,10,32.154077
8.0,8,33.214317
9.0,9,33.215117
9.0,9,33.215171
10.0,10,33.215919
10.0,10,33.215971
8.0,8,34.234965
8.0,8,34.235029
9.0,9,34.235853
9.0,9,34.235911
11.0,11,34.237239
9.0,9,35.25741
9.0,9,35.25747
10.0,10,35.258201
11.0,11,35.259077
11.0,11,35.259143
8.0,8,36.260717
9.0,9,36.261634
9.0,9,36.261695
9.0,9,36.261719
11.0,11,36.263052
9.0,9,37.227294
10.0,10,37.227983
11.0,11,37.228803
11.0,11,37.228859
11.0,11,37.22888
10.0,10,38.199029
11.0,11,38.199891
11.0,11,38.199954
11.0,11,38.199978
12.0,12,38.200744
11.0,11,39.213855
11.0,11,39.213931
12.0,12,39.214762
12.0,12,39.214832
13.0,13,39.215595
11.0,11,40.17538
12.0,12,40.176208
13.0,13,40.177013
14.0,14,40.177818
18.0,18,40.180428
10.0,10,41.100534
10.0,10,41.100611
13.0,13,41.10267
13.0,13,41.102726
14.0,14,41.103456
.896756
11.0,11,1.897555
10.0,10,1.906186
11.0,11,1.910655
15.0,15,1.919619
10.0,10,1.920245
21.0,21,1.925173
13.0,13,1.932731
30.0,30,1.93381
10.0,10,1.938142
11.0,11,1.943869
12.0,12,1.95167
15.0,15,1.956103
19.0,19,1.96275
13.0,13,1.962816
35.0,35,1.973003
16.0,16,1.976729
12.0,12,1.977631
9.0,9,1.987833
10.0,10,1.987885
17.0,17,1.996445
13.0,13,1.997078
26.0,26,2.006807
13.0,13,2.010777
15.0,15,2.014949
11.0,11,2.01539
13.0,13,2.015425
11.0,11,2.028131
16.0,16,2.034402
14.0,14,2.03477
16.0,16,2.038677
17.0,17,2.042424
15.0,15,2.047691
9.0,9,2.047756
10.0,10,2.052623
10.0,10,2.060024
14.0,14,2.060389
11.0,11,2.066186
13.0,13,2.073389
13.0,13,2.078016
14.0,14,2.083388
16.0,16,2.087178
11.0,11,2.087594
11.0,11,2.093263
10.0,10,2.097967
8.0,8,2.102481
12.0,12,2.104249
9.0,9,2.110969
11.0,11,2.111022
10.0,10,2.11772
14.0,14,2.118471
8.0,8,2.125141
10.0,10,2.126189
15.0,15,2.131319
9.0,9,2.132175
14.0,14,2.144575
16.0,16,2.149143
10.0,10,2.149194
16.0,16,2.150715
17.0,17,2.162196
9.0,9,2.16301
11.0,11,2.164184
19.0,19,2.174971
15.0,15,2.179664
11.0,11,2.18083
9.0,9,2.185
14.0,14,2.186938
8.0,8,2.194794
12.0,12,2.199213
10.0,10,2.200023
12.0,12,2.205081
11.0,11,2.212908
15.0,15,2.214034
12.0,12,2.218407
14.0,14,2.219161
17.0,17,2.23089
17.0,17,2.236477
17.0,17,2.238092
18.0,18,2.243656
11.0,11,2.250762
9.0,9,2.25679
11.0,11,2.256855
22.0,22,2.25689
11.0,11,2.266148
12.0,12,2.289091
8.0,8,2.289148
12.0,12,2.294604
14.0,14,2.299182
9.0,9,2.304286
13.0,13,2.305408
11.0,11,2.305471
13.0,13,2.319336
10.0,10,2.320398
10.0,10,2.325123
16.0,16,2.325978
13.0,13,2.333847
9.0,9,2.334919
8.0,8,2.335325
13.0,13,2.344948
17.0,17,2.352587
11.0,11,2.352636
15.0,15,2.352927
15.0,15,2.356616
14.0,14,2.370479
10.0,10,2.370546
10.0,10,2.371597
13.0,13,2.371656
16.0,16,2.382849
8.0,8,2.388739
11.0,11,2.392945
13.0,13,2.398688
16.0,16,2.402851
13.0,13,2.403922
10.0,10,2.408643
11.0,11,2.409269
9.0,9,2.416974
13.0,13,2.421871
13.0,13,2.42592
13.0,13,2.427101
11.0,11,2.434822
16.0,16,2.436744
11.0,11,2.440449
12.0,12,2.445359
11.0,11,2.448872
12.0,12,2.453332
10.0,10,2.454143
9.0,9,2.454992
11.0,11,2.467039
12.0,12,2.473446
13.0,13,2.473514
19.0,19,2.474072
16.0,16,2.483447
14.0,14,2.488448
11.0,11,2.492017
16.0,16,2.498682
8.0,8,2.506691
18.0,18,2.507507
16.0,16,2.507927
14.0,14,2.512263
10.0,10,2.522617
14.0,14,2.522666
10.0,10,2.525874
13.0,13,2.526248
12.0,12,2.535074
14.0,14,2.545683
17.0,17,2.549305
19.0,19,2.550716
20.0,20,2.55076
19.0,19,2.559936
10.0,10,2.563503
13.0,13,2.569005
10.0,10,2.569073
12.0,12,2.574064
8.0,8,2.5781
15.0,15,2.585355
11.0,11,2.59338
12.0,12,2.594236
13.0,13,2.597978
16.0,16,2.603299
11.0,11,2.603356
13.0,13,2.613549
16.0,16,2.617626
13.0,13,2.618437
10.0,10,2.623553
10.0,10,2.623621
12.0,12,2.632717
12.0,12,2.636814
