#{"t_start": 1718439967.5925171, "env_id": "None"}
r,l,t
-126.4119,54,2.027498
-130.20276,55,2.029675
-104.50333,61,2.037928
-164.0345,72,2.050834
-116.80133,77,2.057418
-111.41159,58,3.217927
-101.61232,60,3.221146
-120.72586,73,3.236422
-118.248146,77,3.24183
-171.9297,91,3.257831
-84.50295,56,4.430569
-124.46611,59,4.435408
-114.963356,65,4.444456
-120.79216,72,4.459612
-100.4054,79,4.470008
-102.93162,55,5.631184
-42.960133,73,5.653075
-116.05337,76,5.657501
-126.112335,86,5.669442
-87.672714,89,5.673835
-1171.8384,239,14.108097
-1285.9585,244,14.136729
-1331.273,304,14.475963
-2027.4882,310,14.506737
-2004.4723,388,14.800462
-1747.7108,215,16.616281
-1690.4182,226,16.663506
-1567.6005,239,16.711476
-842.7857,280,16.843121
-1351.1873,282,16.849403
-957.62836,219,18.698764
-1077.2926,228,18.743054
-882.1086,296,19.02952
-1886.1239,333,19.184248
-903.65015,342,19.211123
-146.69104,110,20.656048
-175.89845,121,20.684517
-1520.8346,248,21.130278
-2685.4702,252,21.145995
-1405.9475,296,21.285775
-146.64653,360,31.501869
-526.85486,363,31.524382
-994.63855,444,31.976898
-1563.7921,499,32.249986
-6576.5894,618,32.854155
-211.44968,248,34.992148
-362.4642,257,35.03649
-301.4922,324,35.383018
-119.11505,368,35.586053
-3623.1523,542,36.485863
-164.90642,145,38.183113
-215.70877,170,38.260671
-58.870316,227,38.452285
-323.6127,249,38.527403
-570.37384,371,38.982757
-266.3213,89,40.613147
-929.7349,472,42.833978
-4612.943,497,43.025828
-2167.9524,531,43.236253
-1424.835,564,43.390209
-1123.6489,493,54.972401
-1156.313,515,55.135358
-1204.4548,625,55.885952
-1212.7604,645,55.993845
-1236.6077,703,56.248196
-1241.9106,617,61.681588
-1296.753,734,62.768654
-1257.207,775,63.080891
-1253.7792,792,63.187337
-1279.3251,804,63.238381
-950.59845,401,66.39755
-1090.4827,529,67.35902
-1217.5737,639,68.11812
-1244.6348,723,68.645896
-1279.1049,742,68.739189
-1116.868,488,73.206313
-1089.1057,494,73.259411
-1113.2283,571,73.801819
-1184.1855,584,73.880318
-1275.6067,731,74.632876
-631.54694,465,86.400265
-497.8737,482,86.530786
-816.3448,769,88.801982
-422.4103,414,89.994704
-771.2662,1000,91.016463
-735.5447,1000,91.01648
-427.07928,430,94.99942
-495.25934,470,95.250732
-658.8623,500,95.409688
-827.5974,733,96.668372
-884.9821,926,97.958648
-679.23206,507,103.225426
-541.04333,532,103.426968
-556.32764,534,103.440707
-762.46075,645,104.056663
-762.404,837,105.270129
-494.81583,475,109.807842
-588.0138,572,110.648429
-621.8176,582,110.722581
-680.08984,670,111.269304
-445.63202,428,112.82848
-820.1294,992,113.498776
-389.03644,564,127.618121
-551.6282,636,128.286314
-578.3183,677,128.599085
-381.35776,305,130.146851
-484.12436,1000,131.394047
-570.8624,1000,131.394067
-305.40887,413,135.324405
-426.89792,579,136.63759
-450.63312,593,136.747833
-377.91406,321,139.629617
-546.7549,918,139.836777
-483.17773,1000,140.689605
-246.78773,346,143.870614
-360.88815,447,144.549223
-541.25024,591,145.586609
-501.2844,706,146.438985
-494.76743,1000,148.72353
-417.38196,544,153.634317
-470.89624,675,154.840887
-573.4607,976,157.650801
-496.94644,1000,157.859995
-460.66064,1000,157.860014
-271.32355,384,168.435774
-432.17786,715,171.697743
-433.5728,737,171.937253
-343.41025,1000,174.781877
-374.71848,1000,174.781895
-315.0137,456,180.353326
-400.3535,732,183.151032
-428.52106,749,183.326635
-445.0809,825,184.00491
-392.5844,1000,185.515917
-299.32968,481,190.262773
-418.9907,666,192.107175
-402.43112,701,192.447023
-366.7274,1000,195.485271
-389.97537,1000,195.485288
-481.96524,814,204.252716
-481.9023,851,204.74206
-367.6356,1000,206.487096
-369.92413,1000,206.487113
-365.92654,1000,206.487126
-390.70218,744,221.83462
-237.04915,1000,225.449594
-286.64508,1000,225.449608
-300.72235,1000,225.449617
-349.93207,1000,225.449626
-344.39606,1000,237.115262
-241.01697,1000,237.115282
-203.66927,1000,237.115292
-229.72643,1000,237.115301
-322.20554,1000,237.115311
-298.5686,549,242.171086
-305.06882,566,242.343196
-344.7776,627,242.848735
-255.89322,1000,246.622015
-289.7831,1000,246.622033
-237.07916,360,250.440611
-272.29303,1000,257.732203
-358.59488,1000,257.732217
-208.6895,1000,257.732225
-286.9788,1000,257.732234
-167.46231,788,273.508463
-180.16504,844,274.256251
-195.45198,902,274.877728
-129.15703,1000,275.846849
-216.15959,1000,275.846868
-237.1433,1000,286.616277
-120.117905,1000,286.616297
-221.17107,1000,286.616307
-199.35631,1000,286.616317
-262.0354,1000,286.616331
-176.98436,740,295.393
-194.06136,1000,299.800822
-175.23572,1000,299.800846
-166.51744,1000,299.800858
-224.95169,1000,299.80087
-101.48428,1000,311.988814
-146.5453,1000,311.988827
-207.35588,1000,311.988836
-201.37856,1000,311.988846
-218.67313,1000,311.988854
-103.61427,1000,332.632253
-142.46707,1000,332.632266
-85.50086,1000,332.632275
-97.360306,1000,332.632284
-124.44501,1000,332.632293
-115.174034,1000,345.60639
-134.40417,1000,345.606405
-129.4251,1000,345.606415
-133.61703,1000,345.606424
-91.78391,1000,345.606433
-55.47289,1000,356.391596
-99.081375,1000,356.391615
-85.30171,1000,356.391625
-112.874054,1000,356.391634
-99.694244,1000,356.391644
-141.02295,1000,368.466943
-40.775387,1000,368.466967
-85.668015,1000,368.466986
-63.182423,1000,368.467004
-80.583405,1000,368.467021
3908
-73.06134,71,20.158349
-176.43466,116,20.173762
-86.766235,111,20.183506
-297.36218,120,20.186139
-182.01831,114,20.255493
-132.11606,78,20.327188
-113.19206,75,20.334392
-117.132965,96,20.388116
-146.69104,110,20.659516
-175.89845,121,20.687985
-1520.8346,248,21.133742
-2685.4702,252,21.149464
-1405.9475,296,21.289241
-109.00318,89,21.613579
-1192.15,292,29.005193
-404.64938,208,29.179249
-533.3794,211,29.206656
-105.57813,100,29.283851
-1305.3771,380,29.301267
-137.48238,108,29.368648
-61.962574,72,29.383612
-105.10033,85,29.478038
-65.32149,82,29.483134
-306.78607,130,29.529647
-123.95445,79,29.546955
-64.71872,75,29.553705
-111.43588,75,29.638614
-101.185936,105,29.709863
-64.48027,98,29.759469
-152.1723,106,29.762329
-24.261627,129,29.83439
-84.26654,83,29.898806
-240.24483,126,29.923734
-146.64653,360,31.505324
-526.85486,363,31.52785
-994.63855,444,31.980364
-1563.7921,499,32.253452
-6576.5894,618,32.857615
-189.95628,266,32.918574
-456.4995,322,33.115174
-97.3808,77,33.156741
-523.5488,202,33.175919
-99.52518,83,33.208341
-306.60028,315,33.349587
-93.21405,88,33.374034
-97.23101,91,33.424842
-104.88144,88,33.442822
-155.33832,91,33.557925
-83.51474,70,33.607231
-105.84892,83,33.622929
-123.28062,116,33.649549
10.719582,199,33.668812
-207.84485,94,33.777626
-42.57984,98,33.835559
-67.12396,82,33.835615
-163.9863,138,33.940683
-71.33438,151,34.015537
-127.71832,78,34.018511
-73.57962,117,34.054573
-112.65473,129,34.136528
-211.44968,248,34.995609
-362.4642,257,35.039958
-301.4922,324,35.386483
-119.11505,368,35.589518
-3623.1523,542,36.489323
-232.04196,191,36.587099
-725.6947,333,36.695023
-374.70224,259,36.703556
-59.44283,73,36.816699
-154.05835,65,36.850825
-119.35431,71,36.95786
-2072.5356,403,36.979859
-66.700806,64,37.041974
-425.259,142,37.123201
-523.6782,121,37.154734
-58.651085,98,37.201748
-311.87436,118,37.232063
-85.6386,113,37.297055
-282.56363,101,37.347053
-31.74916,59,37.365061
-153.75354,126,37.432157
-166.47946,143,37.522994
-107.252426,77,37.523053
-112.418686,119,37.565755
-94.190445,91,37.637923
-156.27652,143,37.688063
-73.39946,63,37.707649
-123.56625,99,37.744237
-181.31065,107,37.764033
-164.90642,145,38.186578
-215.70877,170,38.264137
-58.870316,227,38.455752
-323.6127,249,38.530869
-570.37384,371,38.986221
-642.1512,241,39.431257
-985.80914,300,39.440442
-228.24982,131,39.564595
-1466.591,368,39.607305
