#{"t_start": 1718442257.5480845, "env_id": "None"}
r,l,t
-403.87744,50,7.179443
-439.05505,51,7.192149
-337.3662,51,7.192185
-361.3742,52,7.203995
-441.0866,53,7.216634
-478.89142,53,7.216668
-430.55728,54,7.228922
-468.45554,54,7.228964
-491.02423,55,7.240447
-530.2168,57,7.265211
-545.2158,58,7.280365
-463.048,58,7.280407
-536.412,58,7.280435
-550.2595,58,7.280459
-542.06274,58,7.280484
-565.0875,59,7.292411
-586.6011,61,7.316931
-578.98706,61,7.316959
-496.51965,61,7.316983
-598.92554,61,7.317006
-617.4217,63,7.340213
-495.35953,63,7.340249
-528.80194,65,7.364051
-557.6703,65,7.364084
-611.7158,65,7.364109
-612.1316,66,7.37986
-522.3754,66,7.379898
-647.3752,67,7.393867
-643.04095,67,7.393909
-559.46545,68,7.405893
-563.2791,69,7.417525
-678.0786,70,7.429242
-533.2887,71,7.44209
-641.2313,71,7.442124
-696.36865,71,7.442147
-524.4352,72,7.454111
-659.7154,72,7.454145
-697.5429,73,7.465206
-676.68677,74,7.476621
-701.54456,74,7.476655
-380.79648,49,13.153646
-399.31683,50,13.167903
-352.67487,50,13.16793
-421.01355,50,13.167948
-374.94702,51,13.179907
-351.74496,52,13.191456
-490.48547,54,13.214527
-497.65613,54,13.214547
-353.20737,55,13.228461
-383.05014,55,13.228479
-496.9181,55,13.228494
-439.07706,55,13.228508
-518.78735,56,13.241099
-464.45667,56,13.241118
-502.5167,56,13.241133
-551.8175,58,13.268858
-514.90186,58,13.268885
-545.94434,58,13.268902
-564.5243,58,13.268918
-563.261,59,13.282249
-523.02014,59,13.282272
-499.20853,59,13.282292
-574.1199,60,13.29417
-504.986,61,13.305719
-551.5427,61,13.30574
-606.56177,63,13.327543
-618.2231,63,13.327563
-455.70493,64,13.33831
-524.79785,65,13.349757
-513.682,66,13.360474
-544.03424,67,13.372662
-514.46844,67,13.377064
-547.2732,68,13.389319
-639.8292,69,13.402096
-559.40594,70,13.414083
-612.76385,70,13.414106
-548.3389,72,13.436324
-826.47675,76,13.480525
-794.4634,77,13.496857
-543.36536,78,13.511095
-861.2687,78,13.511113
-836.816,78,13.511129
-362.31512,50,19.88937
-384.73578,50,19.889393
-360.56662,52,19.914738
-354.7458,52,19.914757
-344.32397,53,19.927571
-481.76117,53,19.927588
-401.7543,53,19.927601
-433.954,54,19.938913
-496.8791,55,19.950805
-490.42493,55,19.950821
-526.1964,56,19.963417
-394.5098,56,19.963432
-511.55594,56,19.963447
-540.52856,57,19.974338
-515.8823,58,19.986606
-477.8619,58,19.986621
-484.093,58,19.986633
-516.8683,60,20.00976
-459.34308,61,20.020575
-507.10306,62,20.031989
-499.22778,62,20.032006
-604.43414,63,20.043541
-620.8426,63,20.043558
-592.2621,64,20.054272
-598.9564,65,20.066595
-628.9463,65,20.066612
-514.59656,65,20.066625
-555.6335,68,20.098413
-531.6128,68,20.098432
-597.333,69,20.112234
-556.0786,69,20.112262
-650.22144,71,20.133839
-571.273,72,20.146621
-605.6913,72,20.146636
-643.3114,72,20.146651
-718.32,73,20.158518
-523.8582,73,20.158535
-550.95776,74,20.170114
-703.16705,74,20.170132
-773.49475,75,20.181393
-556.3292,75,20.181411
-398.32452,49,26.292041
-410.56964,50,26.305476
-414.25766,50,26.305492
-336.1771,50,26.305506
-366.93665,50,26.305518
-392.72006,51,26.317431
-437.09366,51,26.31745
-377.414,52,26.329981
-380.93396,52,26.329997
-456.85205,52,26.33001
-483.33865,53,26.341013
-447.8409,54,26.354378
-469.20853,54,26.354393
-481.25085,54,26.354406
-495.21878,54,26.35442
-475.8205,54,26.354433
-503.7954,55,26.365603
-431.70007,55,26.36562
-538.2258,58,26.399078
-443.94727,58,26.399095
-435.82376,60,26.421837
-565.29175,60,26.421853
-567.2886,60,26.421866
-476.17905,60,26.421879
-591.3028,61,26.432607
-613.33044,62,26.446925
-513.2715,62,26.44694
-590.84454,62,26.446954
-527.99915,62,26.446967
-467.66156,62,26.44698
-601.4697,62,26.446992
-600.41705,62,26.447004
-499.05933,65,26.476576
-547.7152,65,26.476593
-633.5518,66,26.486552
-536.3372,67,26.49906
-583.5608,68,26.509252
-634.8348,69,26.519337
-661.75256,70,26.529386
-688.23016,71,26.540212
-605.6881,71,26.54023
-561.9869,73,26.559736
-675.27893,74,26.570394
-610.8373,74,26.57041
-522.93317,75,26.580163
-799.86975,76,26.58989
20.812416,76,4.865704
-240.44086,83,4.87833
-96.85963,62,4.878402
-295.60324,90,4.89096
-140.0253,101,4.891026
-213.90915,68,4.916728
-291.97375,94,4.929011
-124.71339,87,4.929078
-87.86321,84,4.940502
-93.83726,102,4.951796
-164.78073,116,4.983958
-91.68086,84,5.032871
-88.88974,85,5.032943
-97.63838,67,5.05539
-104.36722,69,5.099514
-93.34046,69,5.111063
-529.2777,94,5.125814
-186.29106,125,5.148804
-136.46614,65,5.161128
-100.71343,71,5.161194
-328.78784,114,5.194447
-97.67766,71,5.232207
-145.10722,57,5.232278
-157.58958,127,5.232331
-120.73064,102,5.25428
-322.03064,84,5.286146
-256.2615,90,5.29669
-139.58243,62,5.353988
-363.31775,112,5.365532
-87.0835,101,5.387369
-89.444824,80,5.419584
-386.6623,94,5.455554
-81.52963,98,5.498676
-390.73828,96,5.561898
-100.21408,75,5.561969
-97.061424,81,5.562003
-72.76689,76,5.629545
-53.89894,62,5.668317
-113.35767,82,5.691796
-121.091934,86,5.704129
-116.94898,72,5.716926
-121.222694,82,5.716991
-206.42117,66,5.752284
-86.05016,130,5.765615
-208.55606,116,5.768062
-117.04501,77,5.780399
-264.3255,112,5.815048
-110.90168,73,5.909795
-235.43958,119,5.958429
-295.04083,109,5.958501
-288.2741,124,5.970814
-225.7496,103,5.983015
-161.81644,109,6.011147
-490.01282,97,6.011219
-271.7196,93,6.023234
-250.70045,100,6.069381
-228.31326,83,6.082344
-122.821434,78,6.082412
-88.59873,69,6.108694
-255.20828,101,6.120409
-308.42804,93,6.132373
-75.56543,115,6.145311
-107.85007,77,6.14538
-383.67435,105,6.157076
-90.9806,77,6.168736
-123.88928,90,6.19267
-146.31003,98,6.192738
7.2808456,87,6.231104
-338.44077,117,6.23117
-143.41525,71,6.242888
