#{"t_start": 1719343627.0335321, "env_id": "CartPoleAggregated-v1"}
r,l,t
17.0,17,0.708248
12.0,12,0.733911
17.0,17,2.155959
14.0,14,2.186223
18.0,18,3.271929
17.0,17,3.304057
15.0,15,4.342735
12.0,12,4.366743
11.0,11,7.370872
54.0,54,8.803872
38.0,38,11.783798
13.0,13,11.815276
13.0,13,11.844176
42.0,42,14.739913
18.0,18,14.777354
11.0,11,16.246955
36.0,36,17.700921
59.0,59,21.01463
78.0,78,24.752909
196.0,196,34.373406
125.0,125,40.579118
82.0,82,45.172608
83.0,83,48.619535
254.0,254,59.348706
500.0,500,78.611063
500.0,500,95.898133
500.0,500,117.190546
500.0,500,135.500254
500.0,500,153.351195
500.0,500,175.309215
500.0,500,193.479375
500.0,500,215.973033
500.0,500,236.010887
500.0,500,254.550708
500.0,500,276.248991
500.0,500,294.670563
362.0,362,311.833497
500.0,500,330.284947
500.0,500,348.902307
500.0,500,368.752038
500.0,500,386.462045
500.0,500,408.631463
500.0,500,426.955907
500.0,500,444.814854
500.0,500,465.958487
500.0,500,485.241364
