#{"t_start": 1718712894.6015546, "env_id": "CartPole-v1"}
r,l,t
15.0,15,0.709003
14.0,14,0.738178
12.0,12,2.745524
9.0,9,2.764072
15.0,15,4.329961
15.0,15,4.360485
30.0,30,5.810725
30.0,30,7.780206
11.0,11,7.809438
76.0,76,14.2315
155.0,155,18.836231
138.0,138,25.210586
136.0,136,31.15771
130.0,130,38.63012
129.0,129,46.031255
149.0,149,55.148072
143.0,143,62.455312
168.0,168,72.693933
211.0,211,82.651906
373.0,373,93.057743
128.0,128,98.990278
155.0,155,106.85134
189.0,189,114.749772
281.0,281,129.161518
270.0,270,141.864902
321.0,321,156.464382
500.0,500,172.020937
500.0,500,187.310791
500.0,500,202.659279
500.0,500,218.704484
500.0,500,234.284533
500.0,500,250.248268
500.0,500,264.999281
500.0,500,281.682544
500.0,500,298.056793
500.0,500,313.2243
500.0,500,330.929034
500.0,500,344.325287
500.0,500,359.771679
500.0,500,376.398709
500.0,500,391.592655
500.0,500,411.068983
