#{"t_start": 1718715479.3124812, "env_id": "CartPoleAggregated-v1"}
r,l,t
35.0,35,2.581157
30.0,30,4.399915
19.0,19,4.4445
31.0,31,5.996786
30.0,30,7.794555
31.0,31,9.493806
25.0,25,11.47174
40.0,40,13.095789
57.0,57,16.831948
72.0,72,20.553887
12.0,12,20.582736
59.0,59,24.369327
121.0,121,31.824142
128.0,128,39.38326
28.0,28,41.189435
41.0,41,43.126215
245.0,245,52.078279
307.0,307,65.036782
280.0,280,77.412816
500.0,500,96.956863
500.0,500,116.489807
500.0,500,136.647855
500.0,500,155.208657
500.0,500,170.833386
500.0,500,187.738061
500.0,500,205.843335
500.0,500,218.628172
500.0,500,236.344448
500.0,500,251.953358
500.0,500,268.065586
500.0,500,289.351029
500.0,500,301.953947
500.0,500,319.949546
500.0,500,337.584037
500.0,500,350.279065
500.0,500,371.263951
500.0,500,384.115102
500.0,500,400.365845
500.0,500,420.426325
500.0,500,433.199066
